id	country_name	country_code	created_at	updated_at
237	Uruguay	ury	2020-04-17 17:52:56	2020-04-17 17:52:56
238	Uzbekistan	uzb	2020-04-17 17:52:56	2020-04-17 17:52:56
239	Vanuatu	vut	2020-04-17 17:52:56	2020-04-17 17:52:56
240	Bolivarian Republic of Venezuela	ven	2020-04-17 17:52:56	2020-04-17 17:52:56
241	Vietnam	vnm	2020-04-17 17:52:56	2020-04-17 17:52:56
242	Virgin Islands (British)	vgb	2020-04-17 17:52:56	2020-04-17 17:52:56
243	Virgin Islands (US)	vir	2020-04-17 17:52:56	2020-04-17 17:52:56
244	Wallis and Futuna Islands	wlf	2020-04-17 17:52:56	2020-04-17 17:52:56
245	Western Sahara	esh	2020-04-17 17:52:56	2020-04-17 17:52:56
246	Yemen	yem	2020-04-17 17:52:56	2020-04-17 17:52:56
247	Zambia	zmb	2020-04-17 17:52:56	2020-04-17 17:52:56
248	Zimbabwe	zwe	2020-04-17 17:52:56	2020-04-17 17:52:56
